Symbol,Company,SEC filings,GICS?Sector,Location of Headquarters
RHT,Red Hat Inc.,reports,Information Technology,"Raleigh, North Carolina"
RF,Regions Financial Corp.,reports,Financials,"Birmingham, Alabama"
RSG,Republic Services Inc,reports,Industrials,"Phoenix, Arizona"
RAI,Reynolds American Inc.,reports,Consumer Staples,"Winston-Salem, North Carolina"
RHI,Robert Half International,reports,Industrials,"Menlo Park, California"
ROK,Rockwell Automation Inc.,reports,Industrials,"Milwaukee, Wisconsin"
COL,Rockwell Collins,reports,Industrials,"Cedar Rapids, Iowa"
ROP,Roper Industries,reports,Industrials,"Sarasota, Florida"
ROST,Ross Stores Inc.,reports,Consumer Discretionary,"Pleasanton, California"
RDC,Rowan Cos.,reports,Energy,"Houston, Texas"
R,Ryder System,reports,Industrials,"Miami, Florida"
SWY,Safeway Inc.,reports,Consumer Staples,"Pleasanton, California"
SAI,SAIC,reports,Information Technology,"McLean, Virginia"
